KOD;NAZEV;POPIS;ZKRACENY_NAZEV;ZACATEK_PLATNOSTI;KONEC_PLATNOSTI
1;Plyn z veøejné sítì;Plyn z veøejné sítì;Plyn z veøejné sítì;01.01.1900 00:00:00;
2;Plyn z domovního zásobníku;Plyn z domovního zásobníku;Domovní zásobník – bez rozlišení;01.01.1900 00:00:00;01.07.2024 00:00:00
3;Bez plynu;Bez plynu;Bez plynu;01.01.1900 00:00:00;
8;Nedefinováno;Nedefinováno;Nedefinováno;01.01.1900 00:00:00;
9;Nezjištìno;Nezjištìno;Nezjištìno;01.01.1900 00:00:00;
21;Plyn z domovního zásobníku - LPG;;Domovní zásobník  - LPG;01.07.2024 00:00:00;
22;Plyn z domovního zásobníku - CNG;;Domovní zásobník - CNG;01.07.2024 00:00:00;
23;Plyn z domovního zásobníku – bioplyn;;Domovní zásobník - bioplyn;01.07.2024 00:00:00;
24;Plyn z domovního zásobníku – dùlní plyn;;Domovní zásobník – dùlní plyn;01.07.2024 00:00:00;
25;Plyn z domovního zásobníku - ostatní;;Domovní zásobník – ostatní;01.07.2024 00:00:00;
51;Plyn v domì;Plyn v domì;Plyn v domì;01.01.1900 00:00:00;26.05.2016 23:59:59
